Kode_Bahan,Sumber,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
AR001,KZGMI-2001,"Beras giling, mentah",Serealia,Tunggal/Single,12,357,8.4,1.7,77.1,0.2,0.147,0.081,0.0018,0.027,0.071,0.0001,0.0002,0.0001,0
AR002,KZGPI- 1990,"Beras giling var pelita, mentah",Serealia,Tunggal/Single,11.4,369,9.5,1.4,77.1,0.4,0.068,0.171,0.0014,0.034,0,0,0.0003,0,0
AR003,KZGPI- 1990,"Beras giling var rojolele, mentah",Serealia,Tunggal/Single,12,357,8.4,1.7,77.1,0.2,0.147,0.081,0.0018,0.034,0.1129,0.0001,0.0002,0,0
AR004,KZGMI-2001,"Beras hitam, mentah",Serealia,Tunggal/Single,12.9,351,8,1.3,76.9,20.1,0.006,0.198,0.0001,0.015,0.105,0.0001,0.0002,0.0001,0
AR005,KZGMI-2001,"Beras jagung kuning, kering, mentah",Serealia,Tunggal/Single,10.8,358,5.5,0.1,82.7,10,0.02,0.09,0.0014,0.001,0.08,0.0001,0.0001,0.0001,0.003
AR006,KZGMI-2001,"Beras jagung putih,kering, mentah",Serealia,Tunggal/Single,22.5,307,4.8,0.1,71.8,10,0.017,0.078,0.0012,0.001,0.07,0.0001,0.0002,0.0001,0
AR007,KZGPI- 1990,"Beras ketan hitam tumbuk, mentah",Serealia,Tunggal/Single,13.7,360,8,2.3,74.5,1,0.01,0.347,0.0062,0.011,0.288,0.0003,0.0002,0.0001,0
AR008,KZGPI- 1990,Beras ketan putih tumbuk,Serealia,Tunggal/Single,12.9,361,7.4,0.8,78.4,0.4,0.013,0.157,0.0034,0.003,0.282,0.0003,0.0003,0,0
AR009,KZGMI-2001,"Beras ladang, mentah",Serealia,Tunggal/Single,9.8,376,7.5,3.8,78,5.9,0.02,0.11,0.0008,0.01,0.07,0.0001,0.0002,0.0002,0
AR010,DABM-1964,"Beras menir, mentah",Serealia,Tunggal/Single,12,362,7.7,4.4,73,0.2,0.022,0.272,0.0037,0.09,0.201,0.0001,0.0006,0,0
AR011,DABM-1964,Beras parboiled,Serealia,Tunggal/Single,10,353,6.8,0.6,80,0.5,0.005,0.142,0.0008,0.002,0.046,0.0003,0.0002,0.0001,0
AR012,KZGMI-2001,"Beras tumbuk, mentah",Serealia,Tunggal/Single,11.5,354,7.8,0.4,79.9,3.8,0.003,0.112,0.0006,0.005,0.085,0.0005,0.0003,0.0002,0
AR013,KZGPI- 1990,"Beras tumbuk merah,",Serealia,Tunggal/Single,14.6,352,7.3,0.9,76.2,0.8,0.015,0.257,0.0042,0.01,0.202,0.0004,0.0003,0,0
AR014,DABM-1964,"Cantel, mentah",Serealia,Tunggal/Single,11,366,11,3.3,73,1.2,0.028,0.287,0.0044,0.007,0.249,0,0.0001,0.0001,0
AR015,KZGPI- 1990,"Jagung muda, kuning,",Serealia,Tunggal/Single,61.8,147,5.1,0.7,31.5,1.3,0.006,0.122,0.0011,0.005,0.0336,0.0001,0.0002,0.0001,0.009
AR016,KZGPI- 1990,"Jagung kuning pipil, kering",Serealia,Tunggal/Single,11.5,366,9.8,7.3,69.1,2.2,0.03,0.538,0.0023,0.005,0.0794,0.0001,0.0001,0.0001,0.003
AR017,KZGPI- 1990,"Jagung pipil var, harapan, kering",Serealia,Tunggal/Single,11.3,367,6.2,5.1,76.2,2.6,0.007,0.354,0.0028,0.001,0.0796,0.0001,0.0002,0.0001,0
AR018,KZGPI- 1990,"Jagung pipil var, metro, kering",Serealia,Tunggal/Single,10.6,368,5.5,4.6,78,2.9,0.007,0.3,0.0024,0.001,0.0802,0.0001,0.0002,0.0001,0
AR019,DABM-1964,"Jali, mentah",Serealia,Tunggal/Single,23,324,11,4,61,3.1,0.213,0.176,0.011,0,0.024,0,0.0001,0.0001,0
AR020,DABM-1964,"Jawawut, mentah",Serealia,Tunggal/Single,11.9,364,9.7,3.5,73.4,8.2,0.028,0.311,0.0053,0.007,0.2551,0.0005,0.0003,0.0003,0
AR021,DABM-1964,"Jampang huma,",Serealia,Tunggal/Single,11.7,350,6.2,1.4,78.2,1.7,0.329,0.254,0.0053,0.053,0.3967,0.0007,0.0005,0.0003,0
AP001,KZGPI- 1990,Nasi,Serealia,Olahan/Produk,56.7,180,3,0.3,39.8,0.2,0.025,0.027,0.0004,0.001,0.038,0.0001,0.0001,0.0001,0
